,review,stars
0,"first experienxe stay di the haven seminyak bali,  saat check in staff receptionistnya ramah dan saya request pick up ke airport dengan supir yang friendly. Kamar yang saya pesan juga sesuai dengan apa yang saya inginkan. kamarnya nyaman, wifi di kamar juga cepat. di sini juga ada gym untuk saya sedikit olahraga pagi” sebelum breakfast. Makanan di Sabeen restaurant juga enak banget. di sini juga ada suttle ke pantai deket cuma 5 menit. lokasinya sangat strategis di jalan raya seminyak. poolnya bersih dan semua staff nya baik banget. pkoknya pasti kembali ke hotel ini lagi. terima kasih the haven ",5
1,"Lokasi Prime banget dekat dengan pantai dan shoping centre, Kamar Bersih dan nyaman dengan balcony yang luas . Internet cepat ,Gym cukup luas ada facetowel dan mineral water very recomended , tak sabar untuk kembali, staff sangat ramah .",5
2,"Bookingnya sangat mudah dan cepat. dijemput diairport oleh concierge yang sangat profesional.   Jarak dari airport ke hotel tidak terlalu jauh. Hotelnya bersih, Lokasinya sangat strategis, deket kemana mana. Proses check in yang cepat dan reception yang sangat ramah dan welcome.   Mereka juga ada tour desk, guidenya enak kalo diajak ngobrol. Fasilitas juga lumayan lengkap ada gym dan shuttle service ke pantai double six.  Kamarnya luas dan bersih, bathroomnya juga bersih, ada balconynya juga yang menghadap ke swiming pool. Yang paling penting speed wifinya stabil, jadi betah lama lama dikamar. Housekeepingnya fast respond, minta ini itu selalu dilayani.   Menu buffet Breakfast direstaurant enak banget. Menunya variatif, ada egg counter, aneka salad sampai pancake  Sangat saya…",5
3,"Sy pertama menginap di haven dan kecewa karena dpt kamar yg 'gagal'. Kamar connecting tp yang 1 baik saja,yang satunya kacau. Air panas tdk berfungsi, dan yg paling parah adalah lantai kamar mengembun dan basah sepanjang waktu. Stlh kami memanggil bagian house keeping, dan kami mintai penjelasan,akhirnya tau bhwa lantai yang baru adalah penumpukan lantai lama. Sehingga lantai tdk bs menyerap air. Lembab sekali di dlm kamar. Untung cuma semalam menginap di sana",2
4,"Ini pertama kalinya saya berkunjung ke The Haven Seminyak, pertama kali datang saya disambut dengan senyum hangat dari para staffnya. Untuk breakfast sangat lengkap dan lezat. Sangat direkomendasikan kepada para untuk bisnis dan keluarga.",5
5,Kebersihan nya oke..Tanpa diminta kamar sdh di bersihkan & handuk diganti..namun lighting di twin bed nya kurang terang..& breakfast kurang variatif..staff nya ramah & very helpful..& mba Sara sgt membantu dlm proses checkout..lokasi nya ❤️❤️❤️❤️,5
6,Great experience untuk hotel bintang 4. Lokasi hotel strategis di daerah central seminyak. Great staff sangat ramah dan helpful  Area hotel very clean. Makananya is  tasteful  menu sangat variatif with affordable price. Pork ribs very recommended👍,5
7,"Nyaman untuk beristirahat keluarga ataupun solo traveler  Kamar nyaman, Lokasi strategis,dekat kemana aja Kamar selalu dibersihkan dan rapi sarapannya enak banyak pilihan staf baik dan ramah ,cepat menyelesaikan Wulan",5
8,"Planning berjalan lancar. Semua keluarga Happy. Kamar dan Fasilitas sangat baik. Staff sangat ramah. Chef yg berpengalaman, terbukti makanannya enak-enak. Dengan harga yang sangat terjangkau, saya mengambil kesimpulan ""Murah bukan berarti murahan"" Mau liburan mengesankan? The Haven Seminyak tempatnya.",5
9,"Bermalam di hotel,kami merasa sangat nyaman, selain kamar dan fasilitas bagus, orang2 hotel ramah dan sopan. Walaupun dalam keadaan pandemi, dan walau ada segala keterbatasan tp para staf tetap berusaha kasih service yg terbaik utk tamunya. Sarapan aja tetep enak. What a great experience",5
10,"Berkunjung dan menginap karena ada meeting di The Haven. Saya menempati kamar 0007 disebelah pool. Kamarnya bersih, nyaman dan tenang.  Ruang meetingnya juga nyaman dengan alat-alat meeting yang komplet. Cuma satu atau dua buah mike-nya kadang-kadang tidak berfungsi.  Untuk makanan buat saya beragam dan rasanya enak.  Terima kasih The Haven.",5
